,abox,label,type_IceHockeyPlayer,location_Mumbai_type_Place,type_Organisation,formerTeam_EHC_Biel,type_MusicGenre,type_Company,team_R._White_Daring_Molenbeek_type_SportsTeam,type_Animal,type_Genre,"headquarter_Lakeland,_Florida_type_Place",team_SBV_Excelsior,type_Amphibian,type_Work,"headquarter_Lakeland,_Florida_type_Settlement",family_Glass_frog,type_Jurisdiction%3E,type_City,isPartOf_Wisconsin,type_Settlement,type_WinterSportPlayer,isPartOf_Sveti_Jurij_ob_%C5%A0%C4%8Davnici,isPartOf_Wisconsin_type_Region,type_TimePeriod,genre_Hip_hop_music_type_TopicalConcept,location_Mumbai_type_Settlement,formerTeam_EHC_Biel_type_Organisation,type_PopulatedPlace,location_Mumbai_type_Location,type_HockeyTeam,family_Glass_frog_type_Amphibian,cinematography_Peter_Levy_(cinematographer)_type_Person,type_Country,genre_Hip_hop_music,cinematography_Peter_Levy_(cinematographer)_type_Agent,type_Village,"headquarter_Lakeland,_Florida_type_Location",formerTeam_EHC_Biel_type_Agent,"headquarter_Lakeland,_Florida_type_PopulatedPlace",type_Town,isPartOf_Wisconsin_type_AdministrativeRegion,type_Athlete,type_Eukaryote,family_Glass_frog_type_Animal,type_Agent,team_R._White_Daring_Molenbeek,type_SportsTeam,country_Poland_type_Country,type_TopicalConcept,location_Mumbai_type_City,type_MusicalWork,isPartOf_Wisconsin_type_Jurisdiction%3E,formerTeam_EHC_Biel_type_SportsTeam,type_Film,country_Poland_type_Place,"headquarter_Lakeland,_Florida",isPartOf_Wisconsin_type_PopulatedPlace,genre_Hip_hop_music_type_Genre,location_Mumbai,team_R._White_Daring_Molenbeek_type_SoccerClub,type_Location,type_SoccerClub,country_Poland,"headquarter_Lakeland,_Florida_type_City",type_AdministrativeRegion,type_Wikidata:Q11424,type_Species,team_R._White_Daring_Molenbeek_type_Organisation,location_Mumbai_type_PopulatedPlace,type_Region,type_Place,country_Poland_type_PopulatedPlace,isPartOf_Wisconsin_type_Place,formerTeam_EHC_Biel_type_HockeyTeam,type_CareerStation,type_Single,type_Person,team_R._White_Daring_Molenbeek_type_Agent,genre_Hip_hop_music_type_MusicGenre,type_SoccerPlayer,cinematography_Peter_Levy_(cinematographer)
0,abox_dbpedia_9.ttl,False,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1,abox_dbpedia_4.ttl,True,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,abox_dbpedia_2.ttl,True,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,abox_dbpedia_7.ttl,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4,abox_dbpedia_5.ttl,True,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
5,abox_dbpedia_0.ttl,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
6,abox_dbpedia_10.ttl,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,abox_dbpedia_3.ttl,True,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
8,abox_dbpedia_1.ttl,True,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
9,abox_dbpedia_8.ttl,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
10,abox_dbpedia_6.ttl,False,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
